Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,156.000000,161.500000,156.000000,157.029999,153.453186,119950
2014-01-02,157.050003,158.005005,155.880005,156.919998,153.345703,69730
2014-01-03,157.179993,160.399994,153.865005,155.550003,152.006912,512820
2014-01-06,157.115005,158.000000,153.009995,155.145004,151.611130,476960
2014-01-07,155.524994,157.190002,154.529999,155.404999,151.865189,225390
2014-01-08,156.074997,156.074997,154.500000,155.544998,152.002014,175680
2014-01-09,154.610001,155.779999,153.699997,155.035004,151.503647,318820
2014-01-10,155.979996,156.449997,154.914993,156.054993,152.500381,218390
2014-01-13,156.104996,157.179993,155.514999,156.589996,153.023209,144560
2014-01-14,156.994995,156.994995,155.009995,155.304993,151.767456,36600
2014-01-15,155.399994,156.979996,153.199997,155.490005,151.948257,636260
2014-01-16,155.500000,160.399994,154.880005,158.404999,154.796890,360550
2014-01-17,156.800003,158.399994,153.500000,157.375000,153.790359,190830
2014-01-20,158.000000,159.399994,155.104996,156.949997,153.374985,90000
2014-01-21,157.000000,160.000000,156.779999,159.684998,156.047714,114140
2014-01-22,160.100006,161.000000,156.514999,157.350006,153.765884,106180
2014-01-23,158.500000,158.500000,155.009995,157.434998,153.848969,69340
2014-01-24,158.490005,158.490005,153.429993,155.054993,151.523163,173400
2014-01-27,154.500000,154.500000,147.199997,149.175003,145.777130,168990
2014-01-28,147.684998,154.800003,147.500000,153.574997,150.076874,238320
2014-01-29,154.500000,155.865005,149.619995,151.220001,147.775543,41310
2014-01-30,148.595001,150.880005,148.500000,149.839996,146.426987,506800
2014-01-31,150.054993,155.500000,150.000000,153.115005,149.627396,73480
2014-02-03,154.399994,154.399994,148.205002,149.240005,145.840637,98390
2014-02-04,151.285004,152.429993,147.500000,148.130005,144.755905,51590
2014-02-05,148.940002,151.000000,147.550003,148.429993,145.049057,49780
2014-02-06,151.500000,151.500000,147.595001,148.315002,144.936691,131540
2014-02-07,149.994995,150.100006,148.005005,149.389999,145.987198,30560
2014-02-10,150.199997,151.994995,147.804993,148.574997,145.190781,32910
2014-02-11,149.895004,150.000000,146.000000,146.559998,143.221680,16820
2014-02-12,148.000000,149.500000,147.024994,148.190002,144.814545,119360
2014-02-13,146.714996,149.889999,146.714996,148.220001,144.843857,83860
2014-02-14,148.225006,149.500000,146.100006,147.539993,144.179352,31070
2014-02-17,147.505005,151.240005,147.505005,150.384995,146.959518,150600
2014-02-18,155.100006,157.800003,150.600006,155.744995,152.197449,853560
2014-02-19,155.104996,155.104996,153.479996,154.020004,150.511749,74530
2014-02-20,154.500000,154.779999,149.320007,151.229996,147.785294,79100
2014-02-21,150.509995,154.000000,150.104996,152.964996,149.480774,109100
2014-02-24,152.970001,155.000000,151.634995,152.630005,149.153397,58610
2014-02-25,151.199997,155.600006,151.199997,155.335007,151.796829,595850
2014-02-26,156.000000,156.500000,152.550003,154.789993,151.264191,89260
2014-02-28,155.500000,158.500000,154.994995,157.149994,153.570435,160710
2014-03-03,157.895004,159.399994,156.505005,158.895004,155.275711,1506840
