Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,158.250000,159.250000,157.020004,158.220001,145.817871,19775
2014-01-02,159.600006,162.740005,158.229996,159.220001,146.739471,89445
2014-01-03,159.259995,163.520004,159.240005,162.820007,150.057281,113985
2014-01-06,163.570007,166.399994,163.259995,165.460007,152.490326,134305
2014-01-07,165.800003,168.979996,165.800003,166.470001,153.421173,99960
2014-01-08,168.000000,168.399994,166.199997,167.050003,153.955719,34710
2014-01-09,167.600006,168.990005,163.220001,164.449997,151.559509,1398265
2014-01-10,165.000000,165.000000,161.220001,162.039993,149.338409,42815
2014-01-13,162.600006,162.919998,160.000000,161.039993,148.416794,29955
2014-01-14,161.000000,163.800003,157.809998,158.970001,146.509048,39165
2014-01-15,159.240005,160.649994,154.660004,155.330002,143.154373,57320
2014-01-16,155.820007,158.289993,154.820007,157.589996,145.237244,53170
2014-01-17,157.500000,158.550003,156.000000,156.429993,144.168152,18645
2014-01-20,156.539993,163.399994,155.419998,162.710007,149.955917,90775
2014-01-21,163.300003,163.490005,160.419998,160.710007,148.112671,42205
2014-01-22,161.300003,162.580002,155.800003,156.720001,144.435440,68450
2014-01-23,156.600006,158.000000,153.800003,155.360001,143.182037,103830
2014-01-24,155.199997,155.419998,151.229996,152.059998,140.140701,59145
2014-01-27,151.000000,151.000000,144.229996,145.440002,134.039612,45255
2014-01-28,145.039993,150.000000,145.039993,149.000000,137.320587,38640
2014-01-29,149.600006,156.940002,148.750000,154.110001,142.030029,457515
2014-01-30,153.000000,156.600006,152.000000,154.160004,142.076096,115995
2014-01-31,154.800003,157.389999,154.399994,155.369995,143.191254,73565
2014-02-03,156.000000,156.000000,152.360001,154.509995,142.398651,26400
2014-02-04,154.000000,155.949997,152.669998,153.470001,141.440186,32970
2014-02-05,154.899994,157.600006,154.860001,155.839996,143.624405,83155
2014-02-06,157.800003,158.399994,155.399994,157.000000,144.693481,64045
2014-02-07,158.399994,158.699997,155.600006,156.720001,144.435440,39270
2014-02-10,156.720001,156.720001,153.600006,154.190002,142.103760,47035
2014-02-11,152.000000,157.000000,152.000000,156.559998,144.287964,60580
2014-02-12,157.600006,158.960007,156.600006,157.000000,144.693481,67715
2014-02-13,157.009995,157.009995,152.830002,153.520004,141.486282,20390
2014-02-14,154.199997,155.000000,152.000000,154.039993,141.965530,22605
2014-02-17,154.600006,155.100006,151.820007,152.660004,140.693680,27580
2014-02-18,153.399994,153.399994,150.199997,151.369995,139.504791,67900
2014-02-19,152.000000,153.979996,150.720001,153.139999,141.136032,57570
2014-02-20,153.380005,155.080002,152.960007,153.880005,141.818039,111640
2014-02-21,155.000000,156.399994,153.039993,153.910004,141.845688,71895
2014-02-24,153.449997,154.720001,151.800003,152.449997,140.500107,76450
2014-02-25,152.960007,156.199997,152.899994,155.529999,143.338730,55515
2014-02-26,156.360001,156.399994,152.649994,153.559998,141.523148,96475
2014-02-28,153.600006,155.339996,152.000000,153.600006,141.559998,2579950
2014-03-03,153.919998,154.740005,152.360001,152.770004,140.795059,161475
2014-03-04,152.199997,155.100006,152.199997,153.990005,141.919434,28340
2014-03-05,154.600006,156.800003,152.509995,154.539993,142.426315,74795
2014-03-06,155.199997,161.800003,155.119995,160.410004,147.836212,205325
2014-03-07,161.199997,166.000000,161.199997,162.380005,149.651764,128245
2014-03-10,161.600006,168.399994,161.000000,167.449997,154.324387,148885
2014-03-11,169.199997,170.800003,165.029999,165.850006,152.849792,115685
2014-03-12,167.960007,170.419998,167.630005,169.720001,156.416443,106800
2014-03-13,170.600006,172.289993,167.619995,168.949997,155.706772,77625
2014-03-14,169.779999,169.779999,162.860001,167.990005,154.822021,91180
2014-03-18,168.399994,174.160004,166.679993,172.729996,159.190491,1256770
2014-03-19,174.139999,174.860001,171.020004,174.169998,161.452301,147660
2014-03-20,177.899994,177.899994,169.399994,170.619995,158.161530,62405
2014-03-21,170.600006,173.399994,170.399994,172.520004,159.922806,41145
2014-03-22,null,null,null,null,null,null
2014-03-24,173.600006,180.000000,171.600006,178.759995,165.707169,132735
2014-03-25,179.600006,182.800003,179.000000,182.179993,168.877426,107940
2014-03-26,184.000000,184.100006,180.229996,181.410004,168.163651,141125
2014-03-27,181.399994,184.990005,178.259995,179.929993,166.791718,56210
2014-03-28,180.000000,183.000000,178.600006,181.789993,168.515884,68240
2014-03-31,182.399994,187.179993,182.160004,185.990005,172.409225,99675
2014-04-01,186.100006,188.600006,182.300003,182.750000,169.405792,90345
2014-04-02,185.000000,185.000000,179.809998,180.220001,167.060547,126790
2014-04-03,179.270004,183.600006,179.270004,180.020004,166.875153,67670
2014-04-04,181.800003,182.240005,177.229996,178.550003,165.512512,81405
2014-04-07,178.339996,180.119995,176.199997,177.800003,164.817276,17700
2014-04-09,177.279999,182.179993,177.279999,180.410004,167.236710,70045
2014-04-10,182.199997,184.600006,181.000000,183.059998,169.693176,191535
2014-04-11,183.240005,186.199997,182.990005,183.750000,170.332779,99735
2014-04-15,184.399994,187.399994,183.830002,186.009995,172.427750,77050
2014-04-16,186.429993,190.580002,184.119995,185.270004,171.741806,74900
2014-04-17,185.199997,188.779999,184.789993,187.020004,173.364029,128080
2014-04-21,187.020004,188.000000,184.300003,184.770004,171.278305,33185
2014-04-22,184.639999,187.600006,184.639999,186.520004,172.900543,49615
2014-04-23,187.000000,189.029999,182.630005,183.589996,170.184494,69965
2014-04-24,183.589996,183.589996,183.589996,183.589996,170.184494,0
2014-04-25,183.820007,187.000000,183.419998,184.029999,170.592331,57380
2014-04-28,184.199997,192.600006,184.199997,190.490005,176.580658,188330
2014-04-29,192.860001,193.000000,187.539993,188.529999,174.763779,112210
2014-04-30,187.600006,189.600006,184.839996,185.839996,172.270157,49980
2014-05-02,186.210007,187.509995,183.529999,184.470001,171.000198,50660
2014-05-05,185.020004,185.410004,183.059998,183.550003,170.147400,43765
2014-05-06,184.100006,184.100006,180.229996,181.869995,168.590057,38460
2014-05-07,181.979996,183.389999,180.300003,181.309998,168.070953,43655
2014-05-08,181.020004,183.070007,180.899994,181.399994,168.154388,17990
2014-05-09,181.880005,186.589996,181.710007,185.580002,172.029175,2831010
2014-05-12,185.979996,190.000000,185.979996,189.199997,175.384842,143240
2014-05-13,190.199997,192.000000,187.199997,190.369995,176.469406,58850
2014-05-14,191.990005,195.800003,190.259995,192.289993,178.249222,128550
2014-05-15,193.000000,194.000000,188.600006,189.800003,175.941040,31325
2014-05-16,195.000000,195.000000,187.220001,187.729996,174.022171,44485
2014-05-19,188.220001,194.750000,188.220001,193.889999,179.732391,57565
2014-05-20,195.000000,198.490005,190.600006,193.410004,179.287415,132155
2014-05-21,196.720001,196.720001,189.570007,192.770004,178.694183,53890
2014-05-22,192.460007,194.399994,189.000000,189.350006,175.523895,89165
2014-05-23,190.800003,192.460007,184.199997,187.229996,173.558670,99980
2014-05-26,191.979996,191.979996,186.809998,187.139999,173.475250,80710
2014-05-27,186.440002,194.399994,186.440002,193.110001,179.009338,98065
2014-05-28,198.270004,198.270004,186.199997,188.360001,174.606171,622620
2014-05-29,185.229996,192.600006,185.229996,190.529999,176.617722,92415
2014-05-30,191.979996,195.000000,188.619995,193.550003,179.417221,58985
2014-06-02,194.399994,197.000000,193.559998,196.089996,181.771744,85970
2014-06-03,198.000000,213.000000,198.000000,210.679993,195.296402,354105
2014-06-04,212.000000,214.399994,209.000000,212.600006,197.076218,127205
2014-06-05,214.000000,239.000000,212.259995,236.220001,218.971497,3504170
2014-06-06,236.399994,239.270004,232.699997,234.500000,217.377090,236685
2014-06-09,234.000000,240.800003,229.309998,230.350006,213.530136,151735
2014-06-10,231.000000,231.960007,224.000000,225.809998,209.321609,79830
2014-06-11,230.000000,240.899994,224.000000,234.429993,217.312225,282245
2014-06-12,235.000000,241.300003,231.800003,235.149994,217.979645,196300
2014-06-13,236.449997,236.449997,225.449997,228.740005,212.037674,78345
2014-06-16,228.000000,248.410004,225.899994,230.619995,213.780411,192580
2014-06-17,230.470001,237.000000,230.000000,232.199997,215.245056,75470
2014-06-18,234.039993,234.679993,226.460007,228.229996,211.564926,104580
2014-06-19,228.559998,230.419998,222.000000,223.779999,207.439865,75945
2014-06-20,223.570007,223.830002,217.910004,220.669998,204.556946,123445
2014-06-23,221.199997,228.199997,218.350006,220.690002,204.575455,270950
2014-06-24,222.399994,224.770004,222.199997,224.119995,207.755020,72955
2014-06-25,224.399994,226.979996,221.899994,222.940002,206.661179,105045
2014-06-26,224.000000,224.559998,219.380005,220.690002,206.427338,82995
2014-06-27,223.000000,238.399994,222.509995,235.179993,219.980896,314750
2014-06-30,238.000000,238.089996,232.119995,234.710007,219.541290,2826565
2014-07-01,236.580002,237.600006,233.389999,234.250000,219.110992,118690
2014-07-02,238.139999,238.880005,235.350006,237.089996,221.767471,76110
2014-07-03,237.990005,241.149994,237.440002,238.860001,223.423065,47490
2014-07-04,240.000000,243.899994,237.300003,240.050003,224.536133,204980
2014-07-07,243.789993,246.279999,241.199997,244.880005,229.053986,112395
2014-07-08,247.539993,247.539993,235.199997,237.580002,222.225830,110325
2014-07-09,238.000000,241.470001,235.000000,237.830002,222.459610,1311255
2014-07-10,242.990005,244.800003,235.899994,242.110001,226.463028,157465
2014-07-11,242.619995,249.330002,240.000000,242.300003,226.640747,167930
2014-07-14,244.000000,244.860001,239.520004,241.690002,226.070175,93740
2014-07-15,242.800003,245.690002,237.710007,244.279999,228.492783,126515
2014-07-16,244.000000,245.839996,242.800003,244.210007,228.427292,59420
2014-07-17,244.199997,258.000000,242.479996,256.029999,239.483444,230570
2014-07-18,258.799988,259.000000,253.960007,255.460007,238.950272,128200
2014-07-21,255.399994,255.960007,251.399994,252.149994,235.854156,69350
2014-07-22,252.199997,257.000000,249.910004,253.020004,236.667938,127145
2014-07-23,254.520004,255.460007,250.399994,252.100006,235.807404,101170
2014-07-24,252.559998,253.990005,251.229996,252.250000,235.947708,66615
2014-07-25,253.190002,253.600006,244.020004,247.410004,231.420502,91915
2014-07-28,249.000000,249.000000,238.000000,242.490005,226.818466,298000
2014-07-30,239.399994,242.619995,232.839996,234.190002,219.054886,91650
2014-07-31,232.119995,241.100006,230.440002,239.369995,223.900131,107795
2014-08-01,238.800003,238.800003,232.080002,232.970001,217.913712,97860
2014-08-04,233.600006,233.600006,227.600006,231.539993,216.576126,73710
2014-08-05,231.539993,240.380005,231.539993,239.190002,223.731766,112855
2014-08-06,240.179993,240.399994,235.229996,236.130005,220.869476,75505
2014-08-07,235.259995,235.699997,230.979996,234.110001,218.980057,76890
2014-08-08,232.259995,236.669998,231.460007,235.699997,220.467270,56220
