Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,30.100000,30.110001,29.370001,29.570000,29.431362,1257600
2014-01-03,29.650000,30.000000,29.420000,29.850000,29.710051,1330600
2014-01-06,29.790001,29.799999,29.450001,29.459999,29.321877,699300
2014-01-07,29.700001,29.750000,29.469999,29.530001,29.391552,808400
2014-01-08,29.930000,30.270000,29.750000,30.100000,29.958878,1148200
2014-01-09,30.010000,30.059999,29.650000,29.959999,29.819534,985300
2014-01-10,29.950001,30.410000,29.900000,30.330000,30.187799,1022600
2014-01-13,30.700001,31.150000,30.480000,30.570000,30.426674,1474400
2014-01-14,30.870001,31.139999,30.620001,31.000000,30.854658,1167100
2014-01-15,30.920000,31.030001,30.719999,30.879999,30.735220,1206100
2014-01-16,30.209999,30.230000,29.900000,30.070000,29.929020,1298100
2014-01-17,30.250000,30.469999,30.110001,30.290001,30.147987,836800
2014-01-21,30.959999,31.250000,30.510000,30.760000,30.615782,1346700
2014-01-22,31.180000,31.459999,30.920000,31.330000,31.183111,1151100
2014-01-23,31.000000,31.080000,30.330000,30.469999,30.327143,759200
2014-01-24,29.580000,29.900000,28.840000,28.840000,28.704786,1344000
2014-01-27,27.980000,28.209999,27.120001,27.250000,27.122240,2127300
2014-01-28,28.299999,28.990000,28.090000,28.860001,28.724691,1343000
2014-01-29,28.219999,28.600000,28.059999,28.100000,27.968256,1348200
2014-01-30,28.959999,29.080000,28.320000,28.360001,28.227036,2593900
2014-01-31,27.790001,28.090000,27.600000,27.850000,27.719427,975500
2014-02-03,27.180000,27.219999,26.469999,26.740000,26.614632,1664000
2014-02-04,27.809999,27.959999,27.450001,27.799999,27.669661,1648100
2014-02-05,28.219999,28.270000,27.500000,28.010000,27.878677,1278100
2014-02-06,28.280001,28.969999,28.250000,28.820000,28.684877,1039000
2014-02-07,29.120001,29.209999,28.840000,28.990000,28.854082,873000
2014-02-10,30.430000,30.740000,30.190001,30.620001,30.476440,1958700
2014-02-11,30.240000,30.770000,30.070000,30.620001,30.476440,2536400
2014-02-12,30.740000,31.160000,30.480000,30.760000,30.615782,2450100
2014-02-13,30.389999,31.100000,30.209999,31.040001,30.894472,1924500
2014-02-14,31.660000,32.450001,31.410000,32.270000,32.118702,2024200
2014-02-18,31.889999,32.200001,31.730000,31.850000,31.700674,1457700
2014-02-19,31.870001,32.240002,31.700001,31.820000,31.670813,1413700
2014-02-20,32.040001,32.389999,31.760000,32.299999,32.148563,1315800
2014-02-21,32.529999,32.970001,32.410000,32.820000,32.666122,1349800
2014-02-24,32.709999,32.980000,32.470001,32.779999,32.626312,1504200
2014-02-25,32.570000,33.080002,32.459999,32.759998,32.606407,1679600
2014-02-26,32.750000,33.900002,32.750000,33.820000,33.661438,2149100
2014-02-27,33.750000,35.200001,33.689999,35.049999,34.885670,2729800
2014-02-28,34.860001,35.279999,34.450001,34.880001,34.716469,2375100
2014-03-03,34.259998,34.770000,34.009998,34.470001,34.308392,1568400
2014-03-04,34.799999,35.240002,34.580002,34.980000,34.815998,1469300
2014-03-05,34.619999,34.860001,34.430000,34.630001,34.467640,1283500
2014-03-06,34.779999,34.990002,34.580002,34.689999,34.527359,872100
2014-03-07,34.830002,35.000000,33.950001,34.009998,33.850544,1789300
2014-03-10,33.560001,34.130001,33.410000,34.080002,33.920219,1177400
2014-03-11,34.099998,34.250000,33.540001,33.590000,33.432514,989900
2014-03-12,33.119999,33.419998,32.840000,33.110001,32.954765,1373100
2014-03-13,33.279999,33.430000,32.270000,32.480000,32.327717,1240300
2014-03-14,32.900002,33.160000,32.540001,32.700001,32.546688,747000
2014-03-17,33.049999,33.490002,32.980000,33.439999,33.283215,746600
2014-03-18,32.759998,33.439999,32.759998,33.189999,33.034389,901400
2014-03-19,32.990002,33.110001,32.389999,32.599998,32.447155,1205800
2014-03-20,32.430000,33.230000,32.270000,33.000000,32.845284,927600
2014-03-21,33.299999,33.490002,32.830002,33.099998,32.944813,1216100
2014-03-24,33.490002,33.599998,32.720001,33.160000,33.004532,1042400
2014-03-25,33.480000,34.400002,33.459999,33.959999,33.800777,1938600
2014-03-26,34.410000,34.950001,34.380001,34.700001,34.537312,1181300
2014-03-27,34.360001,34.720001,34.180000,34.209999,34.049606,1160800
2014-03-28,34.470001,35.020000,34.270000,34.580002,34.417877,796200
2014-03-31,34.880001,35.430000,34.869999,35.410000,35.243984,1093400
2014-04-01,35.490002,36.250000,35.430000,36.049999,35.880981,1221300
2014-04-02,36.290001,36.959999,36.020000,36.799999,36.627464,1432000
2014-04-03,36.520000,36.549999,36.110001,36.340000,36.169621,735200
2014-04-04,36.310001,36.630001,35.950001,36.020000,35.851124,764300
2014-04-07,35.869999,36.400002,35.669998,36.299999,36.129807,753500
2014-04-08,36.200001,36.919998,36.200001,36.799999,36.627464,1319200
2014-04-09,37.160000,38.020000,37.040001,37.959999,37.782028,1884700
2014-04-10,37.910000,38.919998,37.810001,37.810001,37.632732,2870700
2014-04-11,37.500000,37.950001,37.049999,37.400002,37.224655,1876600
2014-04-14,37.990002,38.610001,37.779999,38.299999,38.120430,1265800
2014-04-15,37.529999,37.560001,35.709999,36.619999,36.448307,2571600
2014-04-16,36.900002,37.369999,36.580002,37.340000,37.164932,1241500
2014-04-17,37.790001,37.900002,37.349998,37.450001,37.274418,882600
2014-04-21,37.759998,38.110001,37.389999,37.980000,37.801929,687200
2014-04-22,38.020000,38.150002,37.750000,38.020000,37.841747,1082000
2014-04-23,37.680000,37.889999,37.619999,37.680000,37.503338,825600
2014-04-24,37.709999,38.000000,37.340000,37.830002,37.652637,653200
2014-04-25,37.779999,37.889999,37.209999,37.320000,37.145027,996600
2014-04-28,37.290001,37.590000,36.590000,37.169998,36.995728,788400
2014-04-29,37.110001,37.470001,36.930000,37.169998,36.995728,917800
2014-04-30,37.150002,37.459999,36.910000,37.419998,37.244556,1756300
2014-05-01,37.509998,37.759998,37.150002,37.320000,37.145027,998400
2014-05-02,37.330002,37.540001,37.150002,37.419998,37.244556,1399300
2014-05-05,37.330002,37.590000,37.250000,37.320000,37.145027,1436500
2014-05-06,37.599998,37.980000,37.389999,37.750000,37.573013,787400
2014-05-07,38.000000,38.130001,37.529999,38.119999,37.941277,1187700
2014-05-08,38.119999,39.040001,38.020000,38.279999,38.100529,1916300
2014-05-09,38.730000,38.990002,38.220001,38.439999,38.259773,1057700
2014-05-12,39.810001,40.950001,39.680000,40.529999,40.339973,2339600
2014-05-13,39.580002,39.580002,38.590000,39.040001,38.856964,1606700
2014-05-14,39.410000,39.730000,39.110001,39.560001,39.374523,1575200
2014-05-15,39.560001,39.790001,39.139999,39.610001,39.424290,1104900
2014-05-16,40.000000,40.689999,39.520000,40.680000,40.489277,1533800
2014-05-19,40.700001,41.139999,40.549999,40.939999,40.748051,1107900
2014-05-20,40.889999,41.180000,40.389999,40.779999,40.588806,1157600
2014-05-21,40.680000,40.779999,40.270000,40.740002,40.548992,1130600
2014-05-22,40.639999,40.639999,39.279999,39.330002,39.145607,2156700
2014-05-23,40.049999,40.799999,39.680000,40.700001,40.509182,1479600
2014-05-27,40.599998,40.700001,39.520000,39.720001,39.533775,1870700
2014-05-28,39.619999,39.619999,38.599998,38.720001,38.538464,2340200
2014-05-29,38.630001,39.090000,37.599998,37.669998,37.493382,2259400
2014-05-30,37.570000,37.970001,37.110001,37.240002,37.065403,3293300
2014-06-02,38.270000,38.299999,37.279999,37.520000,37.344090,2065000
2014-06-03,37.490002,38.000000,37.400002,37.639999,37.463528,1084900
2014-06-04,37.500000,37.520000,37.110001,37.419998,37.244556,1442500
2014-06-05,38.209999,38.889999,38.130001,38.820000,38.637993,2580700
2014-06-06,39.080002,39.799999,39.080002,39.529999,39.344666,1543300
2014-06-09,40.070000,40.279999,39.689999,39.910000,39.722885,1371200
2014-06-10,40.119999,40.139999,39.419998,39.650002,39.464108,801300
2014-06-11,39.279999,39.480000,39.090000,39.279999,39.095837,811200
2014-06-12,39.509998,39.759998,39.020000,39.130001,38.946541,1195900
2014-06-13,38.660000,38.750000,37.830002,38.189999,38.010944,922900
2014-06-16,37.889999,38.790001,37.459999,38.750000,38.568321,1232800
2014-06-17,39.000000,39.590000,38.730000,39.389999,39.205322,1203600
2014-06-18,38.799999,39.689999,38.599998,39.529999,39.344666,1401900
2014-06-19,39.540001,39.730000,39.360001,39.470001,39.284946,834000
2014-06-20,39.400002,39.520000,38.840000,38.860001,38.677807,904100
2014-06-23,38.880001,39.020000,38.509998,39.020000,38.837059,1656200
2014-06-24,39.549999,40.000000,39.450001,39.680000,39.493961,1097500
2014-06-25,39.509998,39.860001,39.160000,39.380001,39.195370,745700
2014-06-26,39.250000,39.250000,38.299999,39.139999,38.956493,1050600
2014-06-27,38.820000,39.139999,38.369999,38.669998,38.488697,718500
2014-06-30,38.680000,39.160000,38.360001,39.060001,38.876869,1086700
2014-07-01,40.119999,40.650002,39.910000,40.470001,40.280262,1127600
2014-07-02,40.509998,41.860001,40.490002,41.150002,40.957069,1625100
2014-07-03,41.799999,42.450001,41.790001,42.139999,41.942429,1181000
2014-07-07,42.340000,42.369999,41.810001,41.950001,41.753323,1381300
2014-07-08,41.590000,41.630001,40.860001,41.180000,40.986931,1170600
2014-07-09,40.900002,41.930000,40.570000,41.529999,41.335289,739200
2014-07-10,40.599998,41.060001,40.209999,40.820000,40.628616,1099200
2014-07-11,40.150002,40.770000,40.099998,40.599998,40.409649,811200
2014-07-14,41.009998,41.490002,40.930000,41.029999,40.837631,1154400
2014-07-15,41.290001,41.730000,41.009998,41.580002,41.385056,1122400
2014-07-16,41.869999,42.439999,41.599998,41.689999,41.494537,1014500
2014-07-17,42.020000,42.349998,41.500000,41.639999,41.444775,1143500
2014-07-18,41.759998,42.279999,41.709999,42.009998,41.813034,695900
2014-07-21,41.779999,42.049999,41.439999,41.639999,41.444775,832300
2014-07-22,42.549999,42.830002,42.500000,42.630001,42.430130,1173200
2014-07-23,42.500000,42.520000,41.970001,42.189999,41.992195,880100
2014-07-24,42.279999,42.340000,41.470001,41.520000,41.325336,1206400
2014-07-25,40.320000,41.279999,40.049999,40.520000,40.330025,1462500
2014-07-28,40.369999,40.700001,39.860001,40.430000,40.240444,1684500
2014-07-29,40.590000,40.820000,40.060001,40.189999,40.001568,766600
2014-07-30,40.400002,40.410000,39.500000,39.709999,39.523823,1173400
2014-07-31,39.509998,39.599998,38.980000,39.320000,39.135651,1155700
2014-08-01,38.650002,39.299999,38.520000,39.110001,39.093670,1025800
2014-08-04,39.349998,39.880001,39.240002,39.700001,39.683422,713700
2014-08-05,39.919998,40.160000,39.360001,39.560001,39.543480,983300
2014-08-06,39.130001,39.840000,38.660000,38.830002,38.813786,1026800
2014-08-07,38.959999,39.459999,38.500000,38.650002,38.633862,1003300
2014-08-08,38.259998,38.310001,37.330002,38.240002,38.224033,1437000
2014-08-11,40.139999,41.580002,40.130001,41.110001,41.092834,2977300
2014-08-12,41.419998,42.169998,41.160000,41.840000,41.822529,1677300
2014-08-13,41.919998,42.380001,41.919998,42.200001,42.182377,1086500
2014-08-14,42.540001,43.880001,41.619999,43.820000,43.801701,1630500
2014-08-15,43.720001,44.299999,43.540001,44.270000,44.251514,2113700
2014-08-18,44.340000,45.599998,44.340000,45.549999,45.530979,1683200
2014-08-19,45.759998,46.189999,45.509998,46.049999,46.030769,1127900
2014-08-20,45.830002,47.000000,45.810001,46.750000,46.730476,1307400
2014-08-21,46.790001,47.299999,46.310001,46.770000,46.750469,1217000
2014-08-22,46.689999,47.020000,46.029999,46.790001,46.770462,917300
2014-08-25,46.500000,46.820000,46.029999,46.730000,46.710487,981300
2014-08-26,46.950001,47.480000,46.860001,47.270000,47.250259,1095500
2014-08-27,47.860001,48.169998,47.270000,48.049999,48.029934,870400
2014-08-28,48.000000,48.000000,47.049999,47.570000,47.550137,902800
2014-08-29,47.889999,48.259998,47.660000,48.189999,48.169876,773500
2014-09-02,48.160000,48.639999,47.779999,48.320000,48.299820,1367900
2014-09-03,48.509998,48.660000,47.950001,48.160000,48.139889,1612200
2014-09-04,47.880001,48.880001,47.270000,48.200001,48.179874,1650100
2014-09-05,47.799999,47.799999,47.060001,47.580002,47.560131,1538500
2014-09-08,47.619999,47.939999,47.610001,47.860001,47.840015,1074500
2014-09-09,47.900002,48.169998,46.930000,47.169998,47.150299,996300
2014-09-10,47.200001,47.369999,46.549999,46.910000,46.890411,952800
2014-09-11,46.779999,47.860001,46.770000,47.180000,47.160297,1167400
2014-09-12,47.330002,47.520000,46.660000,47.259998,47.240265,1404900
2014-09-15,47.139999,47.630001,46.939999,46.980000,46.960381,1245200
2014-09-16,46.119999,46.250000,45.660000,46.040001,46.020775,1710200
2014-09-17,46.250000,46.360001,45.590000,46.160000,46.140724,1291800
2014-09-18,47.169998,47.169998,46.730000,46.779999,46.760464,1726900
2014-09-19,46.860001,46.930000,46.509998,46.709999,46.690495,1203600
2014-09-22,47.799999,48.099998,47.330002,47.560001,47.540142,1533700
2014-09-23,46.849998,46.849998,45.349998,45.490002,45.471004,1509400
2014-09-24,45.610001,46.029999,44.939999,44.980000,44.961216,1612700
2014-09-25,44.860001,44.950001,42.799999,42.880001,42.862095,2836500
2014-09-26,43.910000,44.720001,43.619999,44.680000,44.661343,1757600
2014-09-29,44.200001,44.200001,43.320000,43.529999,43.511822,1505600
2014-09-30,43.459999,43.980000,43.160000,43.709999,43.691746,1365100
2014-10-01,43.740002,44.619999,43.709999,44.099998,44.081581,1389700
2014-10-02,43.810001,44.650002,43.340000,44.549999,44.531395,959800
2014-10-03,45.119999,45.869999,44.980000,45.000000,44.981209,1064500
2014-10-06,45.200001,45.730000,44.070000,44.130001,44.111572,1173000
2014-10-07,44.340000,44.340000,43.650002,43.680000,43.661758,899500
2014-10-08,44.169998,44.980000,43.570000,44.900002,44.881252,881300
2014-10-09,44.810001,44.810001,43.580002,44.070000,44.051598,1444200
2014-10-10,43.330002,43.810001,42.480000,42.709999,42.692165,1622900
2014-10-13,42.939999,43.759998,42.799999,42.939999,42.922066,832300
2014-10-14,42.820000,44.189999,42.810001,43.369999,43.351887,993300
2014-10-15,43.369999,43.750000,42.160000,43.570000,43.551804,2731200
2014-10-16,42.500000,42.509998,41.090000,41.759998,41.742561,1893300
2014-10-17,41.860001,42.720001,41.860001,42.500000,42.482254,1368200
2014-10-20,43.209999,44.410000,42.860001,44.389999,44.371464,1686100
2014-10-21,44.930000,45.919998,44.650002,45.880001,45.860844,2167100
2014-10-22,46.090000,46.520000,45.209999,45.250000,45.231106,968100
2014-10-23,45.750000,46.049999,45.369999,45.439999,45.421024,715600
2014-10-24,45.590000,45.939999,45.349998,45.590000,45.570961,617800
2014-10-27,45.099998,45.369999,44.529999,44.860001,44.841267,865700
2014-10-28,45.130001,46.610001,44.919998,46.610001,46.590538,960900
2014-10-29,47.060001,47.200001,45.529999,45.860001,45.840851,1355700
2014-10-30,46.349998,46.380001,45.119999,45.759998,45.740891,1145300
2014-10-31,46.709999,47.169998,46.040001,47.099998,47.080330,1731300
2014-11-03,46.650002,46.889999,45.529999,45.880001,45.860844,1168300
2014-11-04,45.919998,46.320000,45.570000,46.200001,46.180710,788200
2014-11-05,46.689999,47.020000,46.130001,46.790001,46.770462,634300
2014-11-06,46.630001,47.660000,46.590000,47.549999,47.530144,1036700
2014-11-07,47.029999,47.450001,46.290001,46.540001,46.520565,913900
2014-11-10,46.150002,46.540001,46.000000,46.540001,46.520565,714800
2014-11-11,46.450001,46.480000,45.570000,46.049999,46.030769,930500
2014-11-12,46.549999,47.099998,46.349998,46.880001,46.860424,818100
2014-11-13,46.480000,46.840000,46.189999,46.500000,46.480583,758500
2014-11-14,45.700001,46.099998,44.669998,45.290001,45.271088,1393100
2014-11-17,46.860001,48.180000,46.720001,47.680000,47.660091,1539300
2014-11-18,47.709999,47.939999,47.130001,47.160000,47.140305,910700
2014-11-19,46.310001,46.889999,46.240002,46.700001,46.680500,737900
2014-11-20,46.220001,47.009998,46.110001,46.799999,46.780457,924000
